" MCR.BRANCH.TABLE - Default List"
"Rec","Branch name","Outw trf susp acct","Inwd trf susp acct","Outw chq susp acct"
"11","Ambodivona","MGA143300001","MGA143310001","1199999985111"
"12","Ambohibao","MGA143300001","MGA143310001","1299999985110"
"13","AGENCE PREMIUM","MGA143300001","MGA143310001","1399999985111"
"14","Tamatave Bel Air","MGA143300001","MGA143310001","1499999985119"
"15","Tamatave Augagneur","MGA143300001","MGA143310001","1599999985118"
"16","Fenerive Est","MGA143300001","MGA143310001","1699999985117"
"17","Mahitsy","MGA143300001","MGA143310001","1799999985116"
"18","Mahanoro","MGA143300001","MGA143310001","1899999985115"
"19","Maroantsetra","MGA143300001","MGA143310001","1999999985114"
"20","Vohemar","MGA143300001","MGA143310001","2099999985110"
"21","Andohatapenaka","MGA143300001","MGA143310001","2199999985111"
"22","Tsaralalana","MGA143300001","MGA143310001","2299999985119"
"23","Tanjombato","MGA143300001","MGA143310001","2399999985118"
"24","Tsiroanomadidy","MGA143300001","MGA143310001","2499999985117"
"25","Ambatolampy","MGA143300001","MGA143310001","2499999985117"
"28","Maevatanana","MGA143300001","MGA143310001","2899999985113"
"29","Port Berge","MGA143300001","MGA143310001","1799999985116"
"30","Antsohihy","MGA143300001","MGA143310001","3099999985119"
"31","Moramanga","MGA143300001","MGA143310001","3199999985118"
"32","Ambatondrazaka","MGA143300001","MGA143310001","3299999985117"
"33","Majunga","MGA143300001","MGA143310001","3399999985116"
"34","Diego","MGA143300001","MGA143310001","3499999985115"
"35","Ambanja","MGA143300001","MGA143310001","3599999985114"
"36","Antalaha","MGA143300001","MGA143310001","3699999985113"
"37","SAMBAVA","MGA143300001","MGA143310001","3799999985112"
"38","Ambilobe","MGA143300001","MGA143310001","3899999985111"
"39","Nosy Be","MGA143300001","MGA143310001","3999999985110"
"40","Ambositra","MGA143300001","MGA143310001","4099999985117"
"41","Antsirabe","MGA143300001","MGA143310001","4199999985116"
"42","Tulear","MGA143300001","MGA143310001","4299999985115"
"43","Fianarantsoa","MGA143300001","MGA143310001","4399999985114"
"44","Morondava","MGA143300001","MGA143310001","4499999985113"
"45","Fort Dauphin","MGA143300001","MGA143310001","4599999985112"
"46","Farafangana","MGA143300001","MGA143310001","4699999985111"
"47","Manakara","MGA143300001","MGA143310001","4799999985110"
"48","Mananjary","MGA143300001","MGA143310001","4899999985111"
"49","Ampitatafika","MGA143300001","MGA143310001","4999999985119"
"50","Sabotsy Namehana","MGA143300001","MGA143310001","5099999985115"
"51","Andapa","MGA143300001","MGA143310001","5199999985114"
"52","Mobil Ambatondrazaka","MGA143300001","MGA143310001","5299999985113"
"54","Mobile Tana I","MGA143300001","MGA143310001","5499999985111"
"91","SIEGE","MGA143300001","MGA143310001","MGA143200001"
"99","Field Sale Force MBM","MGA143300001","MGA143310001","MGA143200001"
